handle,performance_count,performance_median,performance_mean,performance_min,performance_max,performance_std,accessibility_count,accessibility_median,accessibility_mean,accessibility_min,accessibility_max,accessibility_std,seo_count,seo_median,seo_mean,seo_min,seo_max,seo_std,best_practices_count,best_practices_median,best_practices_mean,best_practices_min,best_practices_max,best_practices_std,performance_color,accessibility_color,seo_color,best_practices_color,performance_rank,accessibility_rank,seo_rank,best_practices_rank
100Reporters,15,0.15,0.154,0.12,0.2,0.02131397931606658,15,0.89,0.89,0.89,0.89,0.0,15,0.88,0.8766666666666667,0.87,0.88,0.0048795003647426624,15,0.58,0.58,0.58,0.58,0.0,red,orange,orange,orange,946.0,289.0,668.0,1067.0
11AliveNews,15,0.21,0.218,0.14,0.31,0.05334523676687812,15,0.81,0.8166666666666667,0.81,0.8300000000000001,0.009759000729485358,15,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,15,0.67,0.652,0.58,0.67,0.03726354020448715,red,orange,orange,orange,784.0,777.0,1085.0,970.0
12NewsNow,15,0.22,0.214,0.1,0.32,0.07278147330978439,15,0.81,0.8073333333333335,0.8,0.81,0.004577377082170636,15,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,15,0.75,0.75,0.75,0.75,0.0,red,orange,orange,orange,746.0,777.0,1085.0,780.0
12khari,14,0.29,0.2978571428571429,0.12,0.45,0.08675150820489622,14,0.78,0.78,0.78,0.78,0.0,14,0.85,0.8549999999999999,0.85,0.92,0.018708286933869726,14,0.92,0.8942857142857144,0.8300000000000001,0.92,0.04219265078446459,red,orange,orange,green,616.0,883.0,722.0,125.0
13wmaznews,15,0.24,0.24333333333333332,0.14,0.34,0.058635272985594934,15,0.81,0.8166666666666667,0.81,0.8300000000000001,0.009759000729485358,15,0.78,0.7786666666666666,0.77,0.78,0.0035186577527449568,15,0.75,0.75,0.75,0.75,0.0,red,orange,orange,orange,707.0,777.0,978.0,780.0
14eastmag,19,0.13,0.1568421052631579,0.07,0.31,0.06583250054991813,19,0.75,0.75,0.75,0.75,0.0,19,0.73,0.73,0.73,0.73,0.0,19,0.75,0.7247368421052631,0.67,0.75,0.03820535463527354,red,orange,orange,orange,998.0,950.0,1078.0,780.0
19thnews,15,0.54,0.5706666666666667,0.47,0.8200000000000001,0.08497618714058888,15,0.95,0.95,0.95,0.95,0.0,15,0.92,0.9206666666666667,0.92,0.93,0.002581988897471594,15,1.0,0.9393333333333334,0.75,1.0,0.08048661527294612,orange,green,green,green,346.0,137.0,232.0,1.0
1NewsNZ,15,0.17,0.168,0.16,0.17,0.004140393356054126,15,0.79,0.7900000000000001,0.79,0.79,0.0,15,0.92,0.92,0.92,0.92,0.0,15,0.92,0.908,0.8300000000000001,0.92,0.031667919774704845,red,orange,green,green,883.0,854.0,232.0,125.0
20Minutes,20,0.43,0.437,0.32,0.53,0.059125201679860774,20,0.8,0.8,0.8,0.8,0.0,20,0.9,0.8895,0.8300000000000001,0.9,0.025644328397276615,20,0.92,0.9200000000000002,0.92,0.92,0.0,red,orange,green,green,436.0,820.0,587.0,125.0
3NewsNowOmaha,15,0.2,0.20733333333333331,0.16,0.31,0.039904648255321744,15,0.98,0.968,0.94,0.98,0.016561573424216516,15,0.91,0.91,0.91,0.91,0.0,14,0.8300000000000001,0.8014285714285715,0.67,0.8300000000000001,0.0506658955021321,red,green,green,orange,808.0,28.0,490.0,296.0
