identifier,handle,file_name,date,performance,accessibility,best_practices,seo,pwa
100reporters-2022,100Reporters,100reporters-2022-11-01T06:52:28.095601-04:00.lighthouse.json,2022-11-01,0.15,0.89,0.58,0.88,0.30000000000000004
100reporters-2022,100Reporters,100reporters-2022-11-01T18:50:06.804908-04:00.lighthouse.json,2022-11-01,0.14,0.89,0.58,0.87,0.30000000000000004
100reporters-2022,100Reporters,100reporters-2022-11-02T06:40:22.809453-04:00.lighthouse.json,2022-11-02,0.13,0.89,0.58,0.88,0.30000000000000004
100reporters-2022,100Reporters,100reporters-2022-11-02T18:52:48.025967-04:00.lighthouse.json,2022-11-02,0.12,0.89,0.58,0.87,0.30000000000000004
100reporters-2022,100Reporters,100reporters-2022-11-03T06:45:37.202067-04:00.lighthouse.json,2022-11-03,0.16,0.89,0.58,0.88,0.30000000000000004
100reporters-2022,100Reporters,100reporters-2022-11-03T20:02:11.142695-04:00.lighthouse.json,2022-11-03,0.2,0.89,0.58,0.88,0.30000000000000004
100reporters-2022,100Reporters,100reporters-2022-11-04T08:22:39.839373-04:00.lighthouse.json,2022-11-04,0.14,0.89,0.58,0.87,0.30000000000000004
100reporters-2022,100Reporters,100reporters-2022-11-04T21:04:33.787861-04:00.lighthouse.json,2022-11-04,0.16,0.89,0.58,0.88,0.30000000000000004
100reporters-2022,100Reporters,100reporters-2022-11-05T06:53:58.264304-04:00.lighthouse.json,2022-11-05,0.14,0.89,0.58,0.87,0.30000000000000004
100reporters-2022,100Reporters,100reporters-2022-11-05T18:50:43.377447-04:00.lighthouse.json,2022-11-05,0.16,0.89,0.58,0.88,0.30000000000000004
100reporters-2022,100Reporters,100reporters-2022-11-06T05:41:53.498376-05:00.lighthouse.json,2022-11-06,0.17,0.89,0.58,0.88,0.30000000000000004
100reporters-2022,100Reporters,100reporters-2022-11-06T17:49:46.062392-05:00.lighthouse.json,2022-11-06,0.16,0.89,0.58,0.88,0.30000000000000004
100reporters-2022,100Reporters,100reporters-2022-11-07T05:56:25.068663-05:00.lighthouse.json,2022-11-07,0.14,0.89,0.58,0.87,0.30000000000000004
100reporters-2022,100Reporters,100reporters-2022-11-07T17:57:26.264267-05:00.lighthouse.json,2022-11-07,0.15,0.89,0.58,0.88,0.30000000000000004
100reporters-2022,100Reporters,100reporters-2022-11-08T05:57:53.852571-05:00.lighthouse.json,2022-11-08,0.19,0.89,0.58,0.88,0.30000000000000004
11alivenews-2022,11AliveNews,11alivenews-2022-11-01T06:52:34.387234-04:00.lighthouse.json,2022-11-01,0.15,0.81,0.58,0.7000000000000001,0.5
11alivenews-2022,11AliveNews,11alivenews-2022-11-01T18:50:20.070137-04:00.lighthouse.json,2022-11-01,0.26,0.8300000000000001,0.58,0.7000000000000001,0.5
11alivenews-2022,11AliveNews,11alivenews-2022-11-02T06:40:59.259607-04:00.lighthouse.json,2022-11-02,0.14,0.81,0.58,0.7000000000000001,0.5
11alivenews-2022,11AliveNews,11alivenews-2022-11-02T18:52:01.238786-04:00.lighthouse.json,2022-11-02,0.26,0.8300000000000001,0.67,0.7000000000000001,0.5
11alivenews-2022,11AliveNews,11alivenews-2022-11-03T06:44:45.432730-04:00.lighthouse.json,2022-11-03,0.27,0.81,0.67,0.7000000000000001,0.5
11alivenews-2022,11AliveNews,11alivenews-2022-11-03T20:02:25.270741-04:00.lighthouse.json,2022-11-03,0.17,0.8300000000000001,0.67,0.7000000000000001,0.5
11alivenews-2022,11AliveNews,11alivenews-2022-11-04T08:22:01.847837-04:00.lighthouse.json,2022-11-04,0.2,0.81,0.67,0.7000000000000001,0.5
