text,url,earliest_date,is_story,domain
MIDTERM FINAL SPRINT,https://apnews.com/article/2022-midterm-elections-biden-entertainment-pittsburgh-f24b5bb48ad4a961489941a9b4e51bf0,2022-11-05,True,apnews.com
MIDTERM FINAL SPRINT,https://apnews.com/article/2022-midterm-elections-biden-technology-illinois-congress-94185856dae487ae8cfb74ff50cdf0a0,2022-11-05,True,apnews.com
LIST: 10 fastest-growing population centers...,https://www.axios.com/2022/11/05/fastest-growing-cities-us,2022-11-05,True,axios.com
Nike suspends relationship with Kyrie Irving...,https://www.cnbc.com/2022/11/03/nets-suspend-kyrie-irving-for-at-least-5-games-without-pay.html,2022-11-05,True,cnbc.com
Wells run dry in Southwest as foreign-owned farms guzzle water to feed cattle overseas...,https://www.cnn.com/2022/11/05/us/arizona-water-foreign-owned-farms-climate/index.html,2022-11-05,True,cnn.com
Drowns in his bathtub...,https://www.dailymail.co.uk/news/article-11394235/Aaron-Carter-brother-Backstreet-Boy-pop-star-dead-bathtub-aged-34.html,2022-11-05,True,dailymail.co.uk
Los Angeles Covid Infections Up 25%...,https://deadline.com/2022/11/los-angeles-covid-cases-test-positivity-up-25-percent-winter-wave-1235164184/,2022-11-05,True,deadline.com
DOWD: The Marjorie Taylor Greene-ing of America...,https://dnyuz.com/2022/11/05/the-marjorie-taylor-greene-ing-of-america/,2022-11-05,True,dnyuz.com
Miami-Dade County Was Once Lock for Dems. Not Anymore...,https://dnyuz.com/2022/11/05/miami-dade-county-was-once-a-lock-for-democrats-not-anymore/,2022-11-05,True,dnyuz.com
NKorea Launches More Missiles; American Bombers Fly Over South...,https://dnyuz.com/2022/11/05/north-korea-launches-more-missiles-and-u-s-bombers-fly-over-the-south/,2022-11-05,True,dnyuz.com
RISE OF BARDELLA: France's far right replaces Le Pen with 27-year-old...,https://www.dw.com/en/frances-far-right-picks-jordan-bardella-as-le-pen-successor/a-63659047,2022-11-05,True,dw.com
Iran tests satellite launcher amid rising hostility with USA...,https://www.france24.com/en/asia-pacific/20221105-iran-has-tested-satellite-launcher-successfully-amid-rising-hostility-with-us,2022-11-05,True,france24.com
West Hollywood gay pioneers clash with younger progressives over future of city...,https://www.hastingstribune.com/ap/agriculture/west-hollywood-gay-pioneers-clash-with-younger-progressives-over-future-of-city/article_b5149bc6-397c-5b10-a252-62561af6a5ae.html,2022-11-05,True,hastingstribune.com
'Jews enslave Black lives' found graffitied in Georgia...,https://www.jpost.com/diaspora/antisemitism/article-721513,2022-11-05,True,jpost.com
Argentina's Kirchner Stokes Speculation On Presidential Run...,https://www.msn.com/en-us/news/world/argentina-e2-80-99s-kirchner-stokes-speculation-on-presidential-run/ar-AA13KWWh,2022-11-05,True,msn.com
Christian prophets become GOP surrogates...,https://www.msn.com/en-us/news/politics/in-existential-midterm-races-christian-prophets-become-gop-surrogates/ar-AA13MkzV,2022-11-05,True,msn.com
Liz Cheney endorses Dem in high-stakes race...,https://www.msn.com/en-us/news/politics/liz-cheney-endorses-democrat-abigail-spanberger-in-high-stakes-va-race/ar-AA13LP0K,2022-11-05,True,msn.com
SENATE BATTLE INTENSIFIES,https://www.msn.com/en-us/news/politics/as-democrats-see-house-slipping-away-senate-battle-intensifies-in-final-days/ar-AA13L7c7,2022-11-05,True,msn.com
Spate of assassination attempts hints at violent new era...,https://www.msn.com/en-us/news/world/spate-of-global-assassination-attempts-hints-at-a-violent-new-era/ar-AA13KhMT,2022-11-05,True,msn.com
Why so much bad football in NFL?,https://www.msn.com/en-us/sports/nfl/why-is-there-so-much-bad-football-in-the-nfl/ar-AA13M0kL,2022-11-05,True,msn.com
McConnell Spending More Than Trump on MAGA Candidates...,https://www.newsweek.com/mcconnell-spending-more-trump-maga-candidates-1757128,2022-11-05,True,newsweek.com
Progressives Fleeing Austin...,https://nymag.com/intelligencer/2022/11/the-people-fleeing-austin-because-texas-is-too-conservative.html,2022-11-05,True,nymag.com
"BIDEN, OBAMA, TRUMP IN PA",https://www.politico.com/news/2022/11/05/biden-obama-trump-pennsylvania-00065290,2022-11-05,True,politico.com
Trump and DeSantis barrel toward 2024...,https://www.politico.com/news/2022/11/05/trump-desantis-barrel-toward-2024-00065247,2022-11-05,True,politico.com
DORSEY APOLOGIZES FOR MESS...,https://www.showbiz411.com/2022/11/05/twitter-founder-jack-dorsey-apologizes-for-musk-mess-i-own-the-responsibility-for-why-everyone-is-in-this-situation-i-grew-the-company-size-too-quickly,2022-11-05,True,showbiz411.com
SULLIVAN: Far-left record has made far right more electable...,https://andrewsullivan.substack.com/p/will-biden-and-the-dems-finally-get-7a7,2022-11-05,True,substack.com
'I'm selling my blood': Millions can't make ends meet...,https://www.theguardian.com/us-news/2022/nov/05/multiple-jobs-census-data-inflation-us,2022-11-05,True,theguardian.com
Saudi Arabia top investor!,https://www.theguardian.com/technology/2022/nov/03/saudi-twitter-investment-us-national-security-risk,2022-11-05,True,theguardian.com
