handle,text,url,earliest_date,is_story,domain
BonginoReport,"""Car Vending Machine"" Company Carvana's Stock Is Getting Destroyed",https://www.cnbc.com/2022/11/07/carvana-stock-tanks-in-continued-sell-off.html,2022-11-08,True,cnbc.com
hotairblog,"""Democrats have a turnout problem today""",https://hotair.com/headlines/2022/11/08/democrats-have-a-turnout-problem-today-n509192,2022-11-08,True,hotair.com
hotairblog,"""Gun violence"" activist shot by Baltimore police after allegedly attacking woman with knife",https://bearingarms.com/camedwards/2022/11/08/gun-violence-activist-shot-by-baltimore-police-after-allegedly-attacking-woman-with-knife-n64119,2022-11-08,True,bearingarms.com
BonginoReport,"""Knives Are Out"" for McCarthy Following Lackluster Midterms",https://thepoliticalinsider.com/report-knives-are-out-for-kevin-mccarthy-after-gops-lackluster-midterm-performance/?utm_source=home-headline-stories,2022-11-09,True,thepoliticalinsider.com
RedState,"""No, No, No, No, No"": Kayleigh McEnany Offers Some Advice to Her Old Boss, Donald Trump",https://redstate.com/terichristoph/2022/11/09/no-no-no-no-no-kayleigh-mcenany-offers-some-advice-to-her-old-boss-donald-trump-n656939,2022-11-09,True,redstate.com
powerlineus,"""The Israel we knew""",https://danielgordis.substack.com/p/the-israel-we-knew-is-not-gone,2022-11-08,True,substack.com
hotairblog,"""The real red wave"": Has the Murdoch empire dumped Trump?",https://hotair.com/ed-morrissey/2022/11/10/the-real-red-wave-has-the-murdoch-empire-dumped-trump-n509876,2022-11-10,True,hotair.com
BreitbartNews,#MeToo Gestapo Targets Warren Beatty with 49-Year-Old Accusation140,https://www.breitbart.com/entertainment/2022/11/10/nolte-metoo-gestapo-targets-warren-beatty-49-year-old-accusation/,2022-11-10,True,breitbart.com
DRUDGE,$16 Billion Fortune Eviscerated!,https://www.msn.com/en-us/money/other/sam-bankman-fried-s-16-billion-fortune-is-eviscerated-in-days/ar-AA13SUEl,2022-11-08,True,msn.com
BonginoReport,$2+ Billion Winning Powerball Ticket Sold in California,https://www.newsmax.com/us/Lottery-Jackpot/2022/11/08/id/1095404/,2022-11-08,True,newsmax.com
JustTheNews,$49 Smartwatch Is Perfect For The Festive Season!,https://trk.greatdiscount.life/b3fcf8e1-24fa-4b64-a2a6-4eb263ca6bf4?Adid=00247603ac951d1547ba3327479f23443d&adtitle=%2449+Smartwatch+Is+Perfect+For+The+Festive+Season%21&section=$section_name$&section_id=$section_id$&publisher_id=$publisher_id$&Filter_Code=3&obclick=$ob_click_id$&campaignid=008b96d1f1fbe102dbf213feeaa56afa29&publisher_name=$publisher_name$&obOrigUrl=true,2022-11-09,True,greatdiscount.life
foxnews,"'A MISTAKE':Esptein accuser Virginia Giuffre, Alan Dershowitz agree to permanently drop lawsuits against each other",https://www.foxnews.com/us/esptein-accuser-virginia-giuffre-alan-dershowitz-agree-permanently-drop-lawsuits-against-each-other,2022-11-08,True,foxnews.com
townhallcom,'A Tale of Two Campaigns': Lake Sails Into Election Day,https://townhall.com/tipsheet/katiepavlich/2022/11/08/a-tale-of-two-campaigns-lake-soars-into-election-day-n2615634,2022-11-08,True,townhall.com
worldnetdaily,'A lie from the pit of hell': Therapist speaking under pseudonym warns against transitioning minors,https://www.wnd.com/2022/11/lie-pit-therapist-speaking-pseudonym-warns-transitioning-minors/,2022-11-08,True,wnd.com
